ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C02843V04551","Occupational Group","C04477V05260","Field of Study","UNIT","VALUE"
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2215","Dental practitioners","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2216","Veterinarians","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","402","Radiography and Radiation Therapy","Number","27"
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2217","Medical radiographers","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2218","Podiatrists","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2219","Health professionals n.e.c.","V52","Dietetics, Optometry and Podiatry","Number","15"
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","504","Physiotherapy","Number","69"
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2221","Physiotherapists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","501","Occupational Therapy","Number","69"
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","702","Social Care","Number","6"
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2222","Occupational therapists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","10","Speech and Language Therapy","Number","63"
"HGO16C01","Number of Health Graduates","2015","2015","2223","Speech and language therapists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","702","Social Care","Number","3"
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","2229","Therapy professionals n.e.c.","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","30","Nursing and Midwifery","Number","732"
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","702","Social Care","Number","3"
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","X13","Nurses and midwives","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","201","Dentistry","Number","21"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","401","Medical Science","Number","69"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","202","Medicine","Number","423"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","30","Nursing and Midwifery","Number","813"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","501","Occupational Therapy","Number","78"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","504","Physiotherapy","Number","93"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","402","Radiography and Radiation Therapy","Number","36"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","702","Social Care","Number","789"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","701","Social Work","Number","114"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","10","Speech and Language Therapy","Number","66"
"HGO16C01","Number of Health Graduates","2015","2015","-","All occupational groups","V52","Dietetics, Optometry and Podiatry","Number","54"
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","30","Nursing and Midwifery","Number","9"
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","702","Social Care","Number","48"
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","1","Managers, directors and senior officials","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","401","Medical Science","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","30","Nursing and Midwifery","Number","18"
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","504","Physiotherapy","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","402","Radiography and Radiation Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","702","Social Care","Number","93"
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","701","Social Work","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","3","Associate professional and technical occupations","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","30","Nursing and Midwifery","Number","9"
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","501","Occupational Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","702","Social Care","Number","45"
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","701","Social Work","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","10","Speech and Language Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","4","Administrative and secretarial occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","702","Social Care","Number","9"
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","5","Skilled trades occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","30","Nursing and Midwifery","Number","9"
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","702","Social Care","Number","384"
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","701","Social Work","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","6","Caring, leisure and other service occupations","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","702","Social Care","Number","15"
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","7","Sales and customer service occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","702","Social Care","Number","6"
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","8","Process, plant and machine operatives","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","702","Social Care","Number","9"
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","9","Elementary occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","401","Medical Science","Number","42"
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","702","Social Care","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","21","Science, research, engineering and technology professionals","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","202","Medicine","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","30","Nursing and Midwifery","Number","15"
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","702","Social Care","Number","27"
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","701","Social Work","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","10","Speech and Language Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","23","Teaching and educational professionals","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","30","Nursing and Midwifery","Number","6"
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","402","Radiography and Radiation Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","702","Social Care","Number","45"
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","701","Social Work","Number","120"
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","24","Business, media and public service professionals","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2016","2016","2211","Medical practitioners","201","Dentistry","Number",""
